,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
0,112111,109356,108283,109995,108433,108517,109771,110502,111955,113824,116547,114630,119068,118526,119857,120432,117639,115362,114848,114644,119307,115460,109607,103836,94391,90026,86522,85431,84005,85299,85213,88241,87239,83464,82891,84683,86998,90212,90595,90846,91989,96150,96651,95589,95318,95635,93122,92351,94162,97514,98199,101241,99537,98568,97670,94687,91268,89797,88550,89717,90186,90115,87558,85630,83190,85481,83003,83861,82565,82270,83358,83378,84777,86539,88700,90733,92404,94122,95535,96624,97348,97780,98016,98053,97928,97644,97307,96942,96428,95824,95181,94563,93973,93435,92973,92597,92294,92065,91919,91890,92006,92281,92706,93255,93921,94697,95549,96454,97368,98257
1,116136,112173,108606,107307,109178,107844,108126,109235,110001,112345,113270,116079,114400,118980,118176,119625,120245,117471,115154,114737,114507,119254,115608,109729,103934,94665,90727,86735,85625,84426,85840,85860,88489,87312,83589,83028,85094,87322,90561,90870,91136,92460,96497,96979,95941,95603,95882,93588,92870,94917,98163,99002,102042,100200,98996,98124,94909,91358,89960,88963,90191,90504,90464,87698,85798,83519,85997,83580,84427,83170,83019,84150,84188,85578,87347,89504,91529,93202,94923,96333,97416,98135,98562,98794,98821,98697,98413,98077,97710,97196,96590,95947,95326,94736,94198,93738,93364,93061,92836,92691,92660,92778,93054,93479,94030,94695,95472,96323,97228,98141
2,125300,116449,111779,107871,106801,108839,107720,107807,108883,110591,111979,112990,116021,114468,118808,118081,119571,120127,117328,115081,114670,114622,119525,115821,109970,104363,95497,91077,87072,85912,84971,86510,86046,88468,87374,83730,83342,85461,87676,90918,91297,91535,92969,96838,97492,96145,95775,96112,93767,93339,95356,98552,99351,102289,100249,98945,98037,94691,91385,90196,89211,90376,90634,90515,87734,85999,83887,86520,84218,84851,83874,83771,84907,84927,86320,88078,90224,92243,93916,95635,97033,98111,98825,99246,99473,99499,99375,99091,98755,98387,97873,97268,96623,96006,95418,94882,94422,94049,93748,93524,93383,93351,93470,93750,94176,94726,95391,96167,97017,97924
3,131051,125306,116084,111052,107390,106554,108740,107453,107491,109548,110268,111571,112937,116151,114346,118820,118092,119560,120028,117277,115147,114822,114957,119749,116047,110402,105141,95908,91449,87505,86362,85537,86644,86050,88522,87388,83994,83645,85712,87937,91373,91606,91872,93301,97221,97836,96329,95979,96339,94120,93733,95786,98795,99431,102204,100083,98665,97790,94592,91436,90395,89333,90478,90608,90515,87862,86398,84273,87052,84620,85483,84540,84455,85557,85576,86955,88698,90837,92849,94523,96228,97619,98688,99395,99814,100039,100063,99939,99656,99322,98953,98438,97835,97192,96576,95990,95455,94997,94629,94329,94107,93968,93936,94058,94339,94767,95319,95983,96759,97607
4,94343,131399,124953,115430,110537,107070,106470,108462,107199,108144,109243,110034,111539,113110,116055,114302,118781,118065,119475,120033,117310,115278,115044,115161,120102,116501,110855,105582,96266,91856,88082,86980,85686,86537,86052,88475,87546,84299,83889,85924,88260,91709,91977,92244,93764,97529,98063,96562,96266,96708,94470,94113,96060,98827,99302,101951,99703,98331,97617,94572,91524,90470,89435,90518,90638,90733,88257,86903,84817,87493,85215,86134,85194,85080,86165,86176,87541,89277,91415,93424,95084,96779,98163,99226,99928,100348,100573,100597,100472,100191,99858,99488,98974,98374,97733,97119,96531,95999,95546,95180,94883,94662,94526,94496,94618,94900,95330,95884,96550,97325
5,99557,94120,130889,124236,114982,110313,107001,106263,108195,107856,107879,108803,109975,111717,112973,116019,114343,118866,118009,119430,120089,117505,115584,115314,115440,120526,117401,111338,105889,96660,92467,88643,87145,85809,86484,86140,88601,87758,84561,84134,86293,88598,91998,92320,92544,94062,97652,98281,96787,96595,96998,94823,94360,96106,98652,98997,101506,99284,98035,97540,94651,91626,90482,89355,90506,90701,90957,88666,87391,85223,88064,85828,86770,85781,85650,86706,86709,88067,89801,91936,93937,95591,97277,98655,99713,100415,100835,101061,101085,100960,100683,100349,99982,99469,98869,98231,97618,97033,96506,96056,95690,95394,95175,95043,95015,95139,95423,95855,96412,97077
6,95348,99367,93707,130045,123766,114739,110289,106838,106052,108843,107588,107795,108781,110088,111631,113017,116050,114358,118817,117999,119514,120303,117822,115882,115481,115869,121467,117689,111642,106232,97213,93059,88818,87124,85691,86434,86279,88824,87954,84722,84435,86530,89008,92276,92672,92790,94273,97935,98434,97076,96876,97325,95155,94451,95995,98398,98623,101149,99042,97950,97569,94696,91692,90401,89370,90654,91023,91440,89130,87766,85809,88671,86445,87349,86335,86176,87196,87198,88561,90295,92419,94415,96065,97742,99115,100172,100875,101295,101522,101546,101423,101149,100818,100454,99940,99343,98707,98098,97517,96992,96545,96182,95888,95671,95542,95517,95643,95929,96363,96920
7,86673,95188,98933,93150,129562,123529,114688,110096,106654,106650,108645,107540,107758,108992,110062,111644,113023,116090,114288,118803,118045,119673,120635,118118,116115,115785,116546,121685,117870,112023,106696,97850,93174,88791,87091,85670,86602,86493,89032,88077,85116,84722,86936,89287,92625,92948,92998,94550,98208,98739,97438,97188,97608,95208,94296,95779,98095,98317,100946,99013,97974,97719,94756,91690,90485,89543,91044,91484,91941,89450,88369,86461,89309,87040,87927,86874,86679,87672,87686,89054,90781,92898,94889,96537,98208,99580,100639,101341,101763,101990,102017,101894,101622,101292,100933,100421,99825,99193,98586,98008,97487,97043,96680,96389,96173,96047,96025,96154,96443,96880
8,82771,86933,94818,98317,92768,129301,123399,114468,109887,107408,106455,108621,107569,107903,108941,110126,111708,113055,116057,114321,118904,118228,119962,120937,118382,116529,116324,116631,121901,118145,112542,107377,97917,93137,88718,87025,85767,86807,86705,89219,88479,85374,84985,87212,89656,92879,93116,93244,94821,98518,99065,97841,97478,97765,95122,94096,95526,97821,98210,100944,99080,98082,97778,94786,91791,90753,89914,91588,91964,92382,90045,88992,87093,89878,87591,88445,87354,87133,88114,88137,89501,91230,93340,95324,96968,98637,100007,101066,101766,102190,102420,102447,102327,102059,101733,101374,100862,100270,99642,99039,98464,97945,97501,97141,96852,96638,96515,96496,96627,96919
9,85290,83112,86747,94264,97966,92471,129104,123208,114314,110522,107232,106149,108638,107762,107886,109025,110193,111818,113045,116046,114417,119090,118541,120203,121168,118752,117167,116565,116863,122149,118649,113117,107598,98138,93101,88629,87160,85963,87035,86904,89568,88823,85721,85363,87601,90002,93077,93372,93536,95125,98823,99401,98147,97606,97726,94933,93910,95368,97712,98191,101167,99224,98259,97855,94875,91956,91089,90409,92137,92388,92955,90649,89589,87654,90401,88081,88906,87782,87547,88519,88549,89910,91636,93743,95723,97363,99032,100398,101457,102159,102585,102815,102843,102725,102460,102135,101779,101269,100679,100054,99453,98882,98364,97922,97563,97277,97064,96945,96927,97060
